"Source","Target","NumEscroete"
"MARGRITAIN LE MAÇONNESSE","JEHAN D'ESKIERCHIN","VI1"
"JEHAN D'ESKIERCHIN","HUON LE CROISIET","VI1"
"COLART D'AUBI","HUON LE CROISIET","VI1"
"JEHAN TRUBIERT","MARGRITAIN DE COURIERES","VI1"
"MARIEN DE COURIERES","MARGRITAIN DE COURIERES","VI1"
"RICHART POURCIEL","ROGIER LE CARBONNIER","VI1"
"HUON L'ENFANT","ROGIER LE CARBONNIER","VI1"
"WILLIAUME MALET","WILLIAUME DE HARNES","VI1"
"WILLAUME LE WAUKIER","WILLIAUME DE HARNES","VI1"
"MARIEN GOULET","WILLAUME LE WAUKIER","VI1"
"JEHAN MOUTON","JAKEMON PILATE","VI1"
"IVETAIN MORIELE","JAKEMON PILATE","VI1"
"NICOLON CAHET","SANDRART D'AUCI","VI1"
"PIERON DE HASNON","SANDRART D'AUCI","VI1"
"BRIDAIN LE BLONDE","MIKIEL DE HARNES","VI1"
"JAKEMON BARAT","MARIEN DOU MARÉS","V bis"
"PIERON POUCHIN","MARIEN DOU MARÉS","V bis"
"JOURDAIN CLINCHART","JEHAN BOURLET","V bis"
"MARIEN LE RICHART","JEHAN BOURLET","V bis"
"THUMAS ESPINEKOKE","JEHAN DE DOURGES","VI bis"
"GRART LE VERRIER","JEHAN DE DOURGES","VI bis"
"WILLIAUME PAUTONNIER","ROBIERT VODIN","VI bis"
"WILLIAUME PAUTONNIER","GILLION BLONDIEL","VI bis"
"JEHAN PIKETE","GILLION BLONDIEL","VI bis"
"JEHAN PIKETE","JEHAN ESCAILLEBIERT","VI bis"
"GOSSUIN BLAVETIN","JEHAN ESCAILLEBIERT","VI bis"
"RAIMBOURC LE SAGE","GRART DE WARENGHIEN","VI bis"
"WATIER DE WARENGHIEN","GRART DE WARENGHIEN","VI bis"
"JEHAN JOVENIEL","MGR GOSSUIN DE SAINT AUBIN","VI bis"
"MAROTAIN LE VODINE","ADAM DOU MOUTON","VI bis"
"LE MONNE","ADAM DOU MOUTON","VI bis"
"BAUDE PAULOT","WILLIAUME BLAUTIN","VI bis"
"AMET LE BURELIER","WILLIAUME BLAUTIN","VI bis"
"GRART DE BIERELAU","SAINT SANSON","VI bis"
"SAINT SANSON","THUMAS ESPINEKOKE","VI bis"
"JEHAN D'ANESIN","THUMAS ESPINEKOKE","VI bis"
"JEHAN BOINE BROKE","JEHAN CARETON","VII"
"MARIIEN LOUVRI","MARIEN DE LENS","I bis"
"WATIER PIET","MARIEN DE LENS","I bis"
"WILLIAUME MALET","JEHAN LE WAUCROIS","II ter"
"JEHAN DE MIEREGNIES","BERGAIN LE LEU","II ter"
"JEHAN LE TOILIER","SAINT JEHAN","II ter"
"CATELINE LE CHATIERE","SAINT JEHAN","II ter"
"JEHAN MAUVISET","BIETRIS DE HASEBRUECH","II ter"
"ENGHERRAN DOU FOUR","BIETRIS DE HASEBRUECH","II ter"
"ROBIERT DE FIERIN","ROBIERT","I1"
"BAUDE L'ARTISIEN","TENEMENT DES MALADES","I1"
"JEHAN LE GIERMAIN","DANIEL","II1"
"PIERON DE HASNON","MARIIEN DE L'EVE","II1"
"MARIEN","MARIIEN DE L'EVE","II1"
"MARGOT DE MAGNI","MARIEN","II1"
