"Source","Target","NumEscroete"
"WATIER MUSART","BERNART CATEL","I1"
"LANVIN DE SAINT VENANT","BERNART CATEL","I1"
"LANVIN DE SAINT VENANT","YSABIEL AUDEGON","I1"
"YSABIEL AUDEGON","BAUDE DE COMMINES","I1"
"BAUDE DE COMMINES","GILLION DE CANFIN","I1"
"HENRI POURCELET","GILLION DE CANFIN","I1"
"WATIER PORCELET","LIEGART MALET","I1"
"LIEGART MALET","EVRART L'ENFANT","I1"
"ROBIERT BOINEBROKE","EVRART L'ENFANT","I1"
"JEHAN PAINMOULLIET","ukn6","I1"
"BAUDE CAPELET","PIERON LE CORDIER","I1"
"PIERON DAGHENET","PIERON LE CORDIER","I1"
"COLART AGHEHIES","SANDRART MASENGHE","I1"
"SANDRART MASENGHE","AMOURI D'ALLUES","I1"
"AMOURI D'ALLUES","WILLIAUME JOLIT","I1"
"BAUDUIN D'ANVIN","WILLIAUME JOLIT","I1"
"BIERNART CAMPENOIS","THUMAS LE KIEVRE","I1"
"RICHART POURCIEL","THUMAS LE KIEVRE","I1"
"RICHART POURCIEL","JEHAN PIKETE","I1"
"JEHAN LE SEGART","JEHAN PIKETE","I1"
"SAINT AMANT","ukn7","I1"
"SAINT JEHAN","IVETAIN MORIELE","I1"
"JEHAN TRUBIERT","IVETAIN MORIELE","I1"
"JEHAN PIKETE","JAKEMON ESPAIGNOT","I1"
"BAUDE PIECIN","JAKEMON ESPAIGNOT","I1"
"JAKEMON PAINMOULLIET","JEHAN LE SEGART","I1"
"WAUBIERT LE KIEVRE","ADAN LENGLÉS","I1"
"MARIEN LE RAINGHIERE","ADAN LENGLÉS","I1"
"MARIEN PATROULLE","MARIEN RICOUART","I1"
"COLART DE DICHI","MARIEN RICOUART","I1"
"MARIIEN LOUVRI","COLART DE DICHI","I1"
"MARIEN PATROULLE","COLART DE DICHI","I1"
"JEHAN VERDERIEL","GILLION DE FLEKIERES","I1"
"GILLOT LE SERGANT","GILLION DE FLEKIERES","I1"
"MARIEN PATROULLE","SAINT ELOIT","I1"
"SYMON DE LE PORTE","PIERON DE CAMBRAI","I1"
"JAKEMON DE CAMBRAI","PIERON DE CAMBRAI","I1"
"JEHAN DE BERTUIS","JEHAN DE BAUVIN","I1"
"ROBIERT CADOT","JEHAN DE BAUVIN","I1"
"JEHAN DE CLARI","JAKEMON LE LEU","I1"
"MARIIEN LOUVRI","JAKEMON LE LEU","I1"
"WATIER COSTET","JEHAN LE CORDIER","I1"
"PIERONAIN LE CONMERE","JEHAN LE CORDIER","I1"
"MARIIEN LOUVRI","JEHAN D'ARRAS","I1"
"JEHAN D'ARRAS","ukn8","I1"
"WERIN LE FORNIER","ukn8","I1"
"JEHAN HAUTDECUR","GILLION DE FLEKIERES","I1"
"JEHAN D'ESTRASSIELES","GILLION DE FLEKIERES","I1"
"MARIIEN DE FRETIN","WILLIAUME DE FIERIN","I1"
"WILLIAUME LE FLAMENC","WILLIAUME DE FIERIN","I1"
"MARIEN LE SAINGLERE","WILLIAUME DE FIERIN","I1"
"WILLIAUME DE FIERIN","HUON DOUCET","I1"
"MARIIEN DE LENS","HUON DOUCET","I1"
"HUON DOUCET","PIERON DE BUIGNICORT","I1"
"BRIDAIN BOINEBROKE","PIERON DE BUIGNICORT","I1"
"JAKEMON LE PLAT","LUSSAIN LOLIVIERE","I1"
"ESTIEVENON DE LEWARDE","LUSSAIN LOLIVIERE","I1"
"WATIER BOINE BROKE","ukn9","I1"
"SAINT ELOIT","ukn9","I1"
"SYMON BUEE","PIERON DOU BURGHET","II1"
"MARIEN LE CLERC","PIERON DOU BURGHET","II1"
"MGR WATIER","JAKEMON BARDE","II1"
"SAINT JAKEME","JAKEMON BARDE","II1"
"JEHAN D'ASTICES","JAKEMON BARDE","II1"
"MARIEN DE LE MOUREE","RICOUART BOFFLIN","II1"
"RICOUART BOFFLIN","MARIEN MOUTON","II1"
"ROBIERT BOINEBROKE","MARIEN MOUTON","II1"
"ROBIERT BOINEBROKE","AMANT DE LANDAST","II1"
"JEHAN DE FRESAING","AMANT DE LANDAST","II1"
"WILLIAUME MALET","BAUDE DE LE CICLE","II1"
"JEHAN LE CASTREUR","BAUDE DE LE CICLE","II1"
"RICOUART BOFFLIN","RISSENT DE LE PREE","II1"
"NICHOLON CAILLIEL","RISSENT DE LE PREE","II1"
"PIERON LE MUELEKINIER","JEHAN MAUPARENT","II1"
"SAINT SANSON","JEHAN MAUPARENT","II1"
"PIERON AUDEVARE","AALIS DEMIE ESCUIELE","II1"
"WATIER BOINE BROKE","AALIS DEMIE ESCUIELE","II1"
"WATIER BOINE BROKE","WATIER TREPIEL","II1"
