"","Source","Target","NumEscroete","Ecol"
"533","GRART DE BIERELAU","SAINT SANSON","VI bis","#F781BF"
"534","SAINT SANSON","THUMAS ESPINEKOKE","VI bis","#F781BF"
"535","JEHAN D'ANESIN","THUMAS ESPINEKOKE","VI bis","#F781BF"
"536","JEHAN BOINE BROKE","JEHAN CARETON","VII","#66C2A5"
"537","MARIIEN LOUVRI","MARIEN DE LENS","I bis","#FC8D62"
"538","WATIER PIET","MARIEN DE LENS","I bis","#FC8D62"
"539","WILLIAUME MALET","JEHAN LE WAUCROIS","II ter","#8DA0CB"
"540","JEHAN DE MIEREGNIES","BERGAIN LE LEU","II ter","#8DA0CB"
"541","JEHAN LE TOILIER","SAINT JEHAN","II ter","#8DA0CB"
"542","CATELINE LE CHATIERE","SAINT JEHAN","II ter","#8DA0CB"
"543","JEHAN MAUVISET","BIETRIS DE HASEBRUECH","II ter","#8DA0CB"
"544","ENGHERRAN DOU FOUR","BIETRIS DE HASEBRUECH","II ter","#8DA0CB"
"545","ROBIERT DE FIERIN","ROBIERT","I1","#E41A1C"
"546","BAUDE L'ARTISIEN","TENEMENT DES MALADES","I1","#E41A1C"
"547","JEHAN LE GIERMAIN","DANIEL","II1","#377EB8"
"548","PIERON DE HASNON","MARIIEN DE L'EVE","II1","#377EB8"
"549","MARIEN","MARIIEN DE L'EVE","II1","#377EB8"
"550","MARGOT DE MAGNI","MARIEN","II1","#377EB8"
