"x"
"JAKEMON"
"BOURGHAIN"
"SYMON"
"JEHAN"
"MARIIEN"
"CRESTIIEN"
"WATIER"
"BAUDUIN"
"MARIEN"
"AGNIÉS"
"AMANT"
"HUON"
"WILLIAUME"
"JEHENNAIN"
"NICHOLON"
"GILLION"
"PIERONNAIN"
"ROBIERT"
"PIERON"
"ROBERT"
"SOHIER"
"BAUDE"
"LAMBIERT"
"UZILIIEN"
"HENRI"
"GOSSART"
"ALAIN"
"MIKIEL"
"POLET"
"GHILLAIN"
"MARTIN"
"FRERES"
"ALOY"
"CLIMENCHIIEN"
"WERIN"
"RAOUL"
"RIKEUT"
"SAINTAIN"
"ALOUL"
"HENNIN"
"BERNART"
"EUBERI"
"EMMELOT"
"SAUWALON"
"VINÇAN"
"MEHAUT"
"MAROTAIN"
"GRART"
"MARGOT"
"AALIS"
"SARAIN"
"SIMON"
"RICHART"
"JULIANE"
"CLIMENT"
"LEURENC"
"YSABIEL"
"WISTASSE"
"ENMAIN"
"COLART"
"BAUDES"
"EVRART"
"WAUBIERT"
"WAUBERT"
"ROGIER"
"WICART"
"DOU"
"TIEBAUT"
"BLIAUT"
"RICOUART"
"SAINT"
"LANVIN"
"LIEGART"
"MORANT"
"HENNOT"
"AMAN"
"AMOURI"
"SANDRART"
"DRUION"
"ERNOUL"
"THUMAS"
"BIERNART"
"EMMAIN"
"IVETAIN"
"SAUVEE"
"MGR"
"ADAN"
"GILLOT"
"GHIERTRUT"
"BARDE"
"PIERONAIN"
"WALET"
"JEHANS"
"LIEBERT"
"BRIDAIN"
"LUSSAIN"
"ESTIEVENON"
"RICHOUART"
"WAUKIER"
"RISSENT"
"MARGRITAIN"
"HIELOTAIN"
"EUBERT"
"ADAM"
"KENNON"
"FOUKIER"
"ERMENGART"
"ROBIERS"
"ALENT"
"WAUTRE"
"ŒDAIN"
"LIAVAIN"
"COKIN"
"LES"
"EVAIN"
"DOUCET"
"FOUKEUT"
"BIERTOUL"
"CRESTIENE"
"CHATELINE"
"BIETRIS"
"LE"
"RENIER"
"ANDRIU"
"HEUDIART"
"MONNART"
"SALEMON"
"ELYSSENT"
"MAHIU"
"GUITON"
"ALIXANDRE"
"CRESTIEN"
"CASTELAIN"
"DURANT"
"JAHAN"
"PHELIPPON"
"TASSART"
"BIETREMIU"
"WILLART"
"ANSIEL"
"RAINGHIER"
"VIOTE"
"TIESTE"
"ALIXANDRES"
"OLIVIER"
"ROBE"
"MASSART"
"GILLOTAIN"
"CRESTIENNE"
"THIEBAUT"
"EREMBOURC"
"GERVAIS"
"SUERET"
"MONNE"
"HAUWIT"
"ERNAUT"
"GUIFROI"
"ENMELOT"
"RICHARD"
"KATELINE"
"WION"
"MAGRITAIN"
"WILLIART"
"OBIERT"
"IERNAUT"
"ROSE"
"ALART"
"ALIS"
"BLANKE"
"ENGHERRAN"
"GODEFROI"
"GARIN"
"CRESTELOT"
"MABILIEN"
"GOBIERT"
"WIOT"
"FOURSIN"
"EUBELET"
"WILLAUME"
"COUSIN"
"NICOLON"
"PIERES"
"NOSTRE"
"JOURDAIN"
"MARIKIELE"
"WARNIER"
"GOSSUIN"
"RAIMBOURC"
"AMET"
"SOUR"
"BERGAIN"
"AIEN"
"CATELINE"
